Customer_ID,Customer_Name,Region,Customer_Type
CUS0001,Customer 1,East,Enterprise
CUS0002,Customer 2,East,Wholesale
CUS0003,Customer 3,East,Wholesale
CUS0004,Customer 4,South,Wholesale
CUS0005,Customer 5,West,Enterprise
CUS0006,Customer 6,East,Wholesale
CUS0007,Customer 7,North,Retail
CUS0008,Customer 8,West,Wholesale
CUS0009,Customer 9,East,Enterprise
CUS0010,Customer 10,East,Retail
CUS0011,Customer 11,West,Wholesale
CUS0012,Customer 12,West,Enterprise
CUS0013,Customer 13,North,Wholesale
CUS0014,Customer 14,East,Enterprise
CUS0015,Customer 15,East,Retail
CUS0016,Customer 16,North,Enterprise
CUS0017,Customer 17,North,Retail
CUS0018,Customer 18,West,Wholesale
CUS0019,Customer 19,East,Wholesale
CUS0020,Customer 20,West,Retail
CUS0021,Customer 21,North,Retail
CUS0022,Customer 22,East,Wholesale
CUS0023,Customer 23,North,Enterprise
CUS0024,Customer 24,East,Enterprise
CUS0025,Customer 25,South,Enterprise
CUS0026,Customer 26,West,Enterprise
CUS0027,Customer 27,East,Enterprise
CUS0028,Customer 28,South,Wholesale
CUS0029,Customer 29,North,Wholesale
CUS0030,Customer 30,West,Retail
CUS0031,Customer 31,West,Retail
CUS0032,Customer 32,East,Retail
CUS0033,Customer 33,North,Wholesale
CUS0034,Customer 34,South,Retail
CUS0035,Customer 35,East,Enterprise
CUS0036,Customer 36,East,Retail
CUS0037,Customer 37,South,Wholesale
CUS0038,Customer 38,North,Wholesale
CUS0039,Customer 39,West,Wholesale
CUS0040,Customer 40,East,Wholesale
CUS0041,Customer 41,North,Enterprise
CUS0042,Customer 42,South,Enterprise
CUS0043,Customer 43,East,Retail
CUS0044,Customer 44,East,Enterprise
CUS0045,Customer 45,North,Enterprise
CUS0046,Customer 46,North,Enterprise
CUS0047,Customer 47,East,Enterprise
CUS0048,Customer 48,East,Wholesale
CUS0049,Customer 49,South,Retail
CUS0050,Customer 50,East,Enterprise
CUS0051,Customer 51,West,Enterprise
CUS0052,Customer 52,South,Wholesale
CUS0053,Customer 53,East,Wholesale
CUS0054,Customer 54,East,Retail
CUS0055,Customer 55,North,Wholesale
CUS0056,Customer 56,East,Retail
CUS0057,Customer 57,North,Wholesale
CUS0058,Customer 58,East,Enterprise
CUS0059,Customer 59,North,Retail
CUS0060,Customer 60,West,Enterprise
CUS0061,Customer 61,North,Wholesale
CUS0062,Customer 62,North,Enterprise
CUS0063,Customer 63,North,Retail
CUS0064,Customer 64,North,Enterprise
CUS0065,Customer 65,East,Enterprise
CUS0066,Customer 66,North,Retail
CUS0067,Customer 67,West,Retail
CUS0068,Customer 68,East,Enterprise
CUS0069,Customer 69,West,Retail
CUS0070,Customer 70,South,Wholesale
CUS0071,Customer 71,South,Enterprise
CUS0072,Customer 72,East,Enterprise
CUS0073,Customer 73,South,Retail
CUS0074,Customer 74,South,Retail
CUS0075,Customer 75,North,Enterprise
CUS0076,Customer 76,South,Wholesale
CUS0077,Customer 77,South,Enterprise
CUS0078,Customer 78,East,Retail
CUS0079,Customer 79,East,Enterprise
CUS0080,Customer 80,North,Retail
CUS0081,Customer 81,East,Enterprise
