Month,Total_Inventory,Raw_Materials,Finished_Goods
2025-01-01,5098167,2447120.1599999997,1835340.1199999999
2025-02-01,5161090,2477323.1999999997,1857992.4
2025-03-01,5749365,2759695.1999999997,2069771.4
2025-04-01,5784820,2776713.6,2082535.2
2025-05-01,6282913,3015798.2399999998,2261848.6799999997
2025-06-01,6641879,3188101.92,2391076.44
2025-07-01,6814027,3270732.96,2453049.7199999997
2025-08-01,7247069,3478593.1199999996,2608944.84
2025-09-01,7472709,3586900.32,2690175.2399999998
2025-10-01,7719041,3705139.6799999997,2778854.76
2025-11-01,8087455,3881978.4,2911483.8
2025-12-01,8223355,3947210.4,2960407.8
