Order_ID,Order_Date,Region,Product_ID,Product,Category,Order_Value,Quantity
ORD778000,2025-10-04,East,P002,Smartphone,Electronics,746,5
ORD778001,2025-11-25,North,P011,Car Seat,Automotive,134,1
ORD778002,2025-02-19,East,P001,Laptop,Electronics,2081,4
ORD778003,2025-09-27,East,P003,Headphones,Electronics,863,9
ORD778004,2025-06-06,West,P002,Smartphone,Electronics,2436,5
ORD778005,2025-08-19,East,P015,Other Product,Others,1670,1
ORD778006,2025-08-15,North,P012,Engine Oil,Automotive,963,7
ORD778007,2025-08-29,South,P009,Sofa,Home & Living,1697,9
ORD778008,2025-05-14,South,P013,Face Cream,Health & Beauty,1072,9
ORD778009,2025-09-16,North,P013,Face Cream,Health & Beauty,1620,4
ORD778010,2025-09-25,North,P010,Dining Table,Home & Living,1859,1
ORD778011,2025-05-06,North,P014,Shampoo,Health & Beauty,2030,1
ORD778012,2025-07-20,South,P001,Laptop,Electronics,588,1
ORD778013,2025-05-08,South,P014,Shampoo,Health & Beauty,2291,9
ORD778014,2025-03-01,North,P008,Jacket,Apparel,1796,8
ORD778015,2025-04-26,North,P007,Jeans,Apparel,1056,9
ORD778016,2025-06-10,North,P006,T-Shirt,Apparel,1145,6
ORD778017,2025-08-18,South,P003,Headphones,Electronics,758,4
ORD778018,2025-02-04,West,P011,Car Seat,Automotive,1092,4
ORD778019,2025-07-10,South,P014,Shampoo,Health & Beauty,1786,2
ORD778020,2025-05-07,South,P004,Monitor,Electronics,1941,9
ORD778021,2025-01-13,North,P006,T-Shirt,Apparel,953,3
ORD778022,2025-06-02,North,P007,Jeans,Apparel,2411,5
ORD778023,2025-03-01,North,P001,Laptop,Electronics,1782,1
ORD778024,2025-04-30,North,P003,Headphones,Electronics,733,1
ORD778025,2025-08-27,North,P010,Dining Table,Home & Living,253,3
ORD778026,2025-03-27,North,P006,T-Shirt,Apparel,1881,5
ORD778027,2025-04-10,North,P006,T-Shirt,Apparel,1787,2
ORD778028,2025-06-12,East,P006,T-Shirt,Apparel,1730,2
ORD778029,2025-09-10,North,P011,Car Seat,Automotive,512,8
ORD778030,2025-08-05,West,P006,T-Shirt,Apparel,1787,7
ORD778031,2025-07-09,East,P010,Dining Table,Home & Living,496,3
ORD778032,2025-06-26,North,P011,Car Seat,Automotive,1592,4
ORD778033,2025-02-22,West,P008,Jacket,Apparel,334,2
ORD778034,2025-08-27,North,P005,Keyboard,Electronics,2176,5
ORD778035,2025-12-05,East,P002,Smartphone,Electronics,1305,7
ORD778036,2025-04-01,North,P011,Car Seat,Automotive,289,9
ORD778037,2025-07-10,South,P007,Jeans,Apparel,1350,3
ORD778038,2025-01-20,North,P014,Shampoo,Health & Beauty,1067,6
ORD778039,2025-06-05,South,P006,T-Shirt,Apparel,1324,1
ORD778040,2025-07-31,East,P008,Jacket,Apparel,976,5
ORD778041,2025-04-29,South,P008,Jacket,Apparel,2252,3
ORD778042,2025-11-07,West,P004,Monitor,Electronics,2001,1
ORD778043,2025-02-20,North,P003,Headphones,Electronics,367,1
ORD778044,2025-02-23,West,P013,Face Cream,Health & Beauty,863,2
ORD778045,2025-10-21,East,P005,Keyboard,Electronics,896,4
ORD778046,2025-05-18,West,P013,Face Cream,Health & Beauty,2006,9
ORD778047,2025-05-31,North,P009,Sofa,Home & Living,2069,3
ORD778048,2025-10-04,North,P003,Headphones,Electronics,1201,9
ORD778049,2025-10-09,West,P002,Smartphone,Electronics,738,8
ORD778050,2025-08-02,North,P004,Monitor,Electronics,2006,9
ORD778051,2025-04-29,South,P003,Headphones,Electronics,332,2
ORD778052,2025-04-21,East,P010,Dining Table,Home & Living,2075,6
ORD778053,2025-08-17,West,P002,Smartphone,Electronics,1163,5
ORD778054,2025-02-05,West,P005,Keyboard,Electronics,946,8
ORD778055,2025-01-26,North,P002,Smartphone,Electronics,2237,6
ORD778056,2025-10-20,South,P012,Engine Oil,Automotive,1291,2
ORD778057,2025-03-25,North,P004,Monitor,Electronics,335,2
ORD778058,2025-11-30,West,P013,Face Cream,Health & Beauty,1352,3
ORD778059,2025-08-01,North,P005,Keyboard,Electronics,1146,1
ORD778060,2025-06-02,South,P001,Laptop,Electronics,1571,4
ORD778061,2025-01-15,West,P012,Engine Oil,Automotive,2343,6
ORD778062,2025-11-18,West,P009,Sofa,Home & Living,229,3
ORD778063,2025-08-31,East,P012,Engine Oil,Automotive,1084,1
ORD778064,2025-04-21,East,P009,Sofa,Home & Living,2028,6
ORD778065,2025-02-20,East,P015,Other Product,Others,1954,6
ORD778066,2025-02-24,North,P007,Jeans,Apparel,636,6
ORD778067,2025-07-29,South,P002,Smartphone,Electronics,384,6
ORD778068,2025-06-03,North,P015,Other Product,Others,426,1
ORD778069,2025-08-12,North,P006,T-Shirt,Apparel,1087,1
ORD778070,2025-04-24,South,P013,Face Cream,Health & Beauty,2234,7
ORD778071,2025-10-15,East,P002,Smartphone,Electronics,1387,2
ORD778072,2025-10-18,North,P015,Other Product,Others,246,3
ORD778073,2025-02-05,East,P008,Jacket,Apparel,1379,9
ORD778074,2025-08-14,West,P014,Shampoo,Health & Beauty,620,8
ORD778075,2025-08-25,South,P013,Face Cream,Health & Beauty,1479,9
ORD778076,2025-02-03,East,P015,Other Product,Others,1872,9
ORD778077,2025-11-05,North,P007,Jeans,Apparel,128,5
ORD778078,2025-09-24,North,P010,Dining Table,Home & Living,850,4
ORD778079,2025-08-15,West,P010,Dining Table,Home & Living,1038,8
ORD778080,2025-02-11,South,P009,Sofa,Home & Living,1140,9
ORD778081,2025-11-07,South,P015,Other Product,Others,588,7
ORD778082,2025-10-09,East,P001,Laptop,Electronics,1034,3
ORD778083,2025-04-13,North,P014,Shampoo,Health & Beauty,1020,2
ORD778084,2025-06-10,West,P004,Monitor,Electronics,913,4
ORD778085,2025-01-29,West,P003,Headphones,Electronics,2150,8
ORD778086,2025-06-07,West,P006,T-Shirt,Apparel,1928,5
ORD778087,2025-07-17,West,P005,Keyboard,Electronics,984,3
ORD778088,2025-11-26,North,P004,Monitor,Electronics,2013,1
ORD778089,2025-03-02,North,P009,Sofa,Home & Living,1390,9
ORD778090,2025-11-19,North,P008,Jacket,Apparel,1074,6
ORD778091,2025-11-24,East,P004,Monitor,Electronics,1691,8
ORD778092,2025-12-20,South,P002,Smartphone,Electronics,462,9
ORD778093,2025-06-30,East,P010,Dining Table,Home & Living,1674,2
ORD778094,2025-12-22,East,P006,T-Shirt,Apparel,1107,6
ORD778095,2025-03-15,South,P013,Face Cream,Health & Beauty,1017,1
ORD778096,2025-07-12,North,P006,T-Shirt,Apparel,2226,3
ORD778097,2025-02-27,North,P012,Engine Oil,Automotive,1073,4
ORD778098,2025-01-22,North,P002,Smartphone,Electronics,669,6
ORD778099,2025-01-15,East,P010,Dining Table,Home & Living,2346,3
ORD778100,2025-12-15,North,P011,Car Seat,Automotive,1116,6
ORD778101,2025-04-27,East,P007,Jeans,Apparel,2143,6
ORD778102,2025-09-24,South,P011,Car Seat,Automotive,101,1
ORD778103,2025-10-16,West,P015,Other Product,Others,205,7
ORD778104,2025-11-01,West,P010,Dining Table,Home & Living,1207,7
ORD778105,2025-03-25,East,P012,Engine Oil,Automotive,2269,3
ORD778106,2025-02-24,South,P014,Shampoo,Health & Beauty,411,9
ORD778107,2025-02-28,East,P013,Face Cream,Health & Beauty,1487,4
ORD778108,2025-06-01,South,P001,Laptop,Electronics,854,3
ORD778109,2025-07-05,West,P009,Sofa,Home & Living,101,7
ORD778110,2025-10-20,West,P010,Dining Table,Home & Living,127,2
ORD778111,2025-06-12,East,P014,Shampoo,Health & Beauty,2093,9
ORD778112,2025-09-14,South,P015,Other Product,Others,2312,1
ORD778113,2025-04-30,West,P014,Shampoo,Health & Beauty,2266,3
ORD778114,2025-07-17,North,P008,Jacket,Apparel,1308,7
ORD778115,2025-08-11,North,P001,Laptop,Electronics,991,7
ORD778116,2025-01-08,West,P013,Face Cream,Health & Beauty,402,8
ORD778117,2025-03-17,North,P006,T-Shirt,Apparel,803,6
ORD778118,2025-03-04,West,P001,Laptop,Electronics,1100,7
ORD778119,2025-12-05,West,P012,Engine Oil,Automotive,1540,1
ORD778120,2025-08-12,South,P007,Jeans,Apparel,2047,5
ORD778121,2025-08-09,South,P010,Dining Table,Home & Living,506,7
ORD778122,2025-12-02,East,P007,Jeans,Apparel,472,4
ORD778123,2025-01-27,West,P014,Shampoo,Health & Beauty,1386,7
ORD778124,2025-06-08,East,P003,Headphones,Electronics,2288,7
ORD778125,2025-04-28,South,P004,Monitor,Electronics,149,8
ORD778126,2025-01-19,West,P014,Shampoo,Health & Beauty,730,5
ORD778127,2025-05-30,North,P014,Shampoo,Health & Beauty,1443,3
ORD778128,2025-09-20,East,P014,Shampoo,Health & Beauty,2435,7
ORD778129,2025-04-19,North,P002,Smartphone,Electronics,1055,5
ORD778130,2025-01-27,East,P009,Sofa,Home & Living,1594,4
ORD778131,2025-09-21,East,P006,T-Shirt,Apparel,336,7
ORD778132,2025-12-14,West,P010,Dining Table,Home & Living,1284,5
ORD778133,2025-09-29,South,P012,Engine Oil,Automotive,1966,3
ORD778134,2025-06-29,North,P005,Keyboard,Electronics,660,6
ORD778135,2025-03-23,East,P013,Face Cream,Health & Beauty,1911,2
ORD778136,2025-09-13,West,P015,Other Product,Others,2060,6
ORD778137,2025-01-25,East,P014,Shampoo,Health & Beauty,1781,6
ORD778138,2025-06-09,North,P008,Jacket,Apparel,789,8
ORD778139,2025-03-24,North,P008,Jacket,Apparel,519,6
ORD778140,2025-08-19,East,P001,Laptop,Electronics,1697,5
ORD778141,2025-09-03,West,P004,Monitor,Electronics,2485,5
ORD778142,2025-06-22,North,P013,Face Cream,Health & Beauty,723,2
ORD778143,2025-08-20,West,P014,Shampoo,Health & Beauty,2176,1
ORD778144,2025-01-10,West,P004,Monitor,Electronics,955,3
ORD778145,2025-03-10,East,P010,Dining Table,Home & Living,1768,4
ORD778146,2025-10-04,South,P009,Sofa,Home & Living,2497,6
ORD778147,2025-12-18,North,P004,Monitor,Electronics,1713,9
ORD778148,2025-06-18,West,P001,Laptop,Electronics,1411,2
ORD778149,2025-01-11,North,P012,Engine Oil,Automotive,2103,5
ORD778150,2025-06-21,North,P006,T-Shirt,Apparel,2027,8
ORD778151,2025-08-26,West,P008,Jacket,Apparel,562,4
ORD778152,2025-10-10,West,P004,Monitor,Electronics,1930,9
ORD778153,2025-05-08,South,P007,Jeans,Apparel,1528,7
ORD778154,2025-08-07,North,P008,Jacket,Apparel,1878,7
ORD778155,2025-03-11,West,P007,Jeans,Apparel,2123,7
ORD778156,2025-07-21,East,P013,Face Cream,Health & Beauty,1178,4
ORD778157,2025-09-11,South,P008,Jacket,Apparel,967,3
ORD778158,2025-06-22,North,P005,Keyboard,Electronics,260,1
ORD778159,2025-07-17,East,P010,Dining Table,Home & Living,1894,1
ORD778160,2025-12-16,West,P010,Dining Table,Home & Living,2056,4
ORD778161,2025-02-18,South,P009,Sofa,Home & Living,1305,9
ORD778162,2025-01-31,West,P012,Engine Oil,Automotive,1741,9
ORD778163,2025-07-24,North,P007,Jeans,Apparel,2110,7
ORD778164,2025-03-11,West,P003,Headphones,Electronics,1205,5
ORD778165,2025-05-11,East,P011,Car Seat,Automotive,728,4
ORD778166,2025-11-23,East,P013,Face Cream,Health & Beauty,952,5
ORD778167,2025-01-02,East,P005,Keyboard,Electronics,1827,3
ORD778168,2025-11-15,South,P003,Headphones,Electronics,2205,1
ORD778169,2025-03-07,North,P007,Jeans,Apparel,406,8
ORD778170,2025-09-25,South,P006,T-Shirt,Apparel,947,3
ORD778171,2025-12-31,West,P012,Engine Oil,Automotive,1881,3
ORD778172,2025-02-01,North,P012,Engine Oil,Automotive,1858,7
ORD778173,2025-05-08,North,P010,Dining Table,Home & Living,364,4
ORD778174,2025-05-14,East,P001,Laptop,Electronics,2303,8
ORD778175,2025-08-06,North,P013,Face Cream,Health & Beauty,1030,1
ORD778176,2025-07-31,East,P014,Shampoo,Health & Beauty,739,3
ORD778177,2025-01-04,West,P002,Smartphone,Electronics,492,3
ORD778178,2025-09-09,East,P014,Shampoo,Health & Beauty,1782,4
ORD778179,2025-10-08,South,P004,Monitor,Electronics,1079,7
ORD778180,2025-07-25,East,P015,Other Product,Others,364,1
ORD778181,2025-11-04,South,P008,Jacket,Apparel,1721,9
ORD778182,2025-04-30,North,P006,T-Shirt,Apparel,2144,9
ORD778183,2025-11-20,West,P005,Keyboard,Electronics,2379,5
ORD778184,2025-11-03,South,P001,Laptop,Electronics,1285,7
ORD778185,2025-12-27,South,P011,Car Seat,Automotive,461,1
ORD778186,2025-04-03,South,P005,Keyboard,Electronics,1930,5
ORD778187,2025-09-02,East,P002,Smartphone,Electronics,282,9
ORD778188,2025-02-08,South,P009,Sofa,Home & Living,2052,7
ORD778189,2025-09-07,East,P006,T-Shirt,Apparel,1874,8
ORD778190,2025-03-25,West,P004,Monitor,Electronics,309,3
ORD778191,2025-04-28,North,P015,Other Product,Others,367,3
ORD778192,2025-08-23,South,P003,Headphones,Electronics,1781,4
ORD778193,2025-04-09,North,P014,Shampoo,Health & Beauty,1241,4
ORD778194,2025-06-16,South,P006,T-Shirt,Apparel,1013,3
ORD778195,2025-05-06,East,P003,Headphones,Electronics,1499,8
ORD778196,2025-03-08,West,P015,Other Product,Others,2269,5
ORD778197,2025-06-19,South,P013,Face Cream,Health & Beauty,1401,4
ORD778198,2025-03-10,North,P004,Monitor,Electronics,440,5
ORD778199,2025-10-27,West,P007,Jeans,Apparel,2251,6
ORD778200,2025-09-06,West,P002,Smartphone,Electronics,1989,6
ORD778201,2025-06-22,South,P003,Headphones,Electronics,982,3
ORD778202,2025-06-03,West,P002,Smartphone,Electronics,1814,5
ORD778203,2025-08-07,South,P002,Smartphone,Electronics,1446,5
ORD778204,2025-01-13,West,P010,Dining Table,Home & Living,795,9
ORD778205,2025-08-10,North,P014,Shampoo,Health & Beauty,2148,5
ORD778206,2025-05-21,West,P006,T-Shirt,Apparel,513,6
ORD778207,2025-03-16,South,P007,Jeans,Apparel,2469,2
ORD778208,2025-01-13,East,P013,Face Cream,Health & Beauty,2468,1
ORD778209,2025-08-21,North,P008,Jacket,Apparel,759,2
ORD778210,2025-01-14,South,P003,Headphones,Electronics,1198,9
ORD778211,2025-07-23,South,P003,Headphones,Electronics,988,9
ORD778212,2025-03-06,North,P010,Dining Table,Home & Living,2095,3
ORD778213,2025-07-05,North,P010,Dining Table,Home & Living,1028,8
ORD778214,2025-12-30,North,P008,Jacket,Apparel,1123,9
ORD778215,2025-12-21,South,P001,Laptop,Electronics,748,9
ORD778216,2025-06-15,South,P013,Face Cream,Health & Beauty,1039,5
ORD778217,2025-01-28,East,P012,Engine Oil,Automotive,657,5
ORD778218,2025-04-12,South,P005,Keyboard,Electronics,839,6
ORD778219,2025-11-17,South,P007,Jeans,Apparel,1859,5
ORD778220,2025-06-02,West,P006,T-Shirt,Apparel,324,7
ORD778221,2025-08-05,South,P015,Other Product,Others,1341,4
ORD778222,2025-03-31,West,P014,Shampoo,Health & Beauty,125,9
ORD778223,2025-10-28,North,P002,Smartphone,Electronics,785,2
