Shipment_ID,Order_ID,Product,Destination,Status,Ship_Date,Delivery_Date
SHP120000,ORD778000,Face Cream,East,Delivered,2025-09-18,2025-09-23
SHP120001,ORD778001,Jacket,West,Delivered,2025-06-26,2025-06-29
SHP120002,ORD778002,Monitor,South,Delivered,2025-02-12,2025-02-16
SHP120003,ORD778003,Engine Oil,South,Delivered,2025-04-26,2025-04-30
SHP120004,ORD778004,Other Product,North,Delivered,2025-05-27,2025-05-31
SHP120005,ORD778005,Engine Oil,East,Delivered,2025-01-09,2025-01-12
SHP120006,ORD778006,Headphones,South,Delivered,2025-09-06,2025-09-12
SHP120007,ORD778007,Sofa,North,Delivered,2025-08-01,2025-08-07
SHP120008,ORD778008,Jacket,East,Delivered,2025-04-19,2025-04-25
SHP120009,ORD778009,Engine Oil,North,Delivered,2025-09-24,2025-09-26
SHP120010,ORD778010,Shampoo,North,Delivered,2025-03-26,2025-03-30
SHP120011,ORD778011,Shampoo,North,Delivered,2025-01-23,2025-01-28
SHP120012,ORD778012,Engine Oil,North,Delivered,2025-05-19,2025-05-21
SHP120013,ORD778013,Keyboard,West,Delivered,2025-06-12,2025-06-17
SHP120014,ORD778014,Jeans,West,Delivered,2025-09-16,2025-09-21
SHP120015,ORD778015,Shampoo,South,In Transit,2025-07-13,2025-07-18
SHP120016,ORD778016,Smartphone,South,Delivered,2025-04-16,2025-04-20
SHP120017,ORD778017,Other Product,North,Delivered,2025-05-26,2025-05-31
SHP120018,ORD778018,Dining Table,East,Delivered,2025-02-01,2025-02-05
SHP120019,ORD778019,Laptop,East,Delivered,2025-12-07,2025-12-15
SHP120020,ORD778020,Other Product,South,Delivered,2025-09-07,2025-09-10
SHP120021,ORD778021,Laptop,West,Delivered,2025-06-16,2025-06-22
SHP120022,ORD778022,Keyboard,North,Delivered,2025-01-03,2025-01-10
SHP120023,ORD778023,Headphones,North,Delivered,2025-08-28,2025-08-30
SHP120024,ORD778024,Dining Table,East,Delivered,2025-05-24,2025-05-29
SHP120025,ORD778025,Face Cream,West,Delivered,2025-02-27,2025-03-06
SHP120026,ORD778026,Face Cream,West,Delivered,2025-04-05,2025-04-07
SHP120027,ORD778027,Keyboard,East,Delivered,2025-02-27,2025-03-06
SHP120028,ORD778028,Monitor,West,Delivered,2025-06-16,2025-06-21
SHP120029,ORD778029,Jacket,North,Delivered,2025-08-24,2025-08-26
SHP120030,ORD778030,Monitor,South,Delivered,2025-05-09,2025-05-17
SHP120031,ORD778031,Keyboard,South,Delivered,2025-05-26,2025-05-30
SHP120032,ORD778032,Dining Table,East,Delivered,2025-09-27,2025-10-02
SHP120033,ORD778033,Smartphone,West,Delivered,2025-06-09,2025-06-11
SHP120034,ORD778034,Monitor,North,Delivered,2025-07-01,2025-07-05
SHP120035,ORD778035,Keyboard,North,Delivered,2025-01-17,2025-01-20
SHP120036,ORD778036,Jacket,West,Delivered,2025-08-20,2025-08-23
SHP120037,ORD778037,Jeans,South,Delivered,2025-07-04,2025-07-10
SHP120038,ORD778038,Other Product,West,Delivered,2025-04-19,2025-04-21
SHP120039,ORD778039,Sofa,North,Delivered,2025-02-26,2025-03-02
SHP120040,ORD778040,Face Cream,South,In Transit,2025-04-04,2025-04-10
SHP120041,ORD778041,Keyboard,North,Delivered,2025-04-17,2025-04-21
SHP120042,ORD778042,T-Shirt,North,Delivered,2025-12-20,2025-12-28
SHP120043,ORD778043,Headphones,West,Delivered,2025-01-11,2025-01-14
SHP120044,ORD778044,Keyboard,East,Delivered,2025-07-06,2025-07-09
SHP120045,ORD778045,Smartphone,West,Delivered,2025-06-10,2025-06-13
SHP120046,ORD778046,T-Shirt,North,Delivered,2025-11-04,2025-11-09
SHP120047,ORD778047,Jacket,South,Delivered,2025-10-08,2025-10-13
SHP120048,ORD778048,Face Cream,North,Delivered,2025-03-28,2025-03-30
SHP120049,ORD778049,Engine Oil,South,Delivered,2025-10-12,2025-10-18
SHP120050,ORD778050,Keyboard,West,Delivered,2025-08-31,2025-09-05
SHP120051,ORD778051,Car Seat,South,Delivered,2025-06-24,2025-06-27
SHP120052,ORD778052,Shampoo,West,Delivered,2025-05-04,2025-05-09
SHP120053,ORD778053,Keyboard,East,Delivered,2025-05-19,2025-05-22
SHP120054,ORD778054,Smartphone,South,Delivered,2025-09-23,2025-09-25
SHP120055,ORD778055,Laptop,South,Delivered,2025-02-22,2025-02-26
SHP120056,ORD778056,Dining Table,West,Delivered,2025-04-14,2025-04-21
SHP120057,ORD778057,Face Cream,South,Delivered,2025-09-14,2025-09-17
SHP120058,ORD778058,Headphones,North,Delivered,2025-02-26,2025-03-02
SHP120059,ORD778059,Sofa,South,Delivered,2025-04-13,2025-04-16
SHP120060,ORD778060,Car Seat,West,Delivered,2025-06-08,2025-06-16
SHP120061,ORD778061,Other Product,East,In Transit,2025-12-15,2025-12-18
SHP120062,ORD778062,Sofa,East,Delayed,2025-08-30,2025-09-04
SHP120063,ORD778063,Monitor,South,Delivered,2025-01-09,2025-01-12
SHP120064,ORD778064,Keyboard,East,Delivered,2025-03-26,2025-03-30
SHP120065,ORD778065,Face Cream,South,Delivered,2025-03-19,2025-03-23
SHP120066,ORD778066,Smartphone,West,Delivered,2025-01-08,2025-01-12
SHP120067,ORD778067,Jeans,North,Delivered,2025-01-29,2025-02-04
SHP120068,ORD778068,Jacket,South,Delivered,2025-01-08,2025-01-10
SHP120069,ORD778069,Jeans,South,Delivered,2025-10-08,2025-10-16
SHP120070,ORD778070,Jacket,West,In Transit,2025-07-25,2025-07-29
